员工姓名,员工类型,消息数,多人日程总时长(min),群聊被at数,单聊数,群聊数,查看会话次数,查看日程数,工作日工作时间当日被需求数,工作日工作时间当日回复数,工作日工作时间当日回复率,工作日非工作时间当日被需求数,工作日非工作时间当日回复数,工作日非工作时间当日回复率,节假日当日被需求数,节假日当日回复数,节假日当日回复率,人均对上沟通数,人均对下沟通数
AA224,职能,97,380,7,5,3,441,0,75,51,0.68,21,13,0.619047619,6,1,0.166666667,10,17
AA225,设计,61,1180,1,1,2,255,2,25,19,0.76,1,0,0,1,0,0,0,1
AA226,职能,88,410,4,3,2,400,1,78,50,0.641025641,18,13,0.722222222,5,3,0.6,24,38
AA227,市场,35,630,3,4,2,110,2,32,19,0.59375,2,2,1,0,0,0,0,0
AA228,职能,184,170,6,2,2,205,0,40,35,0.875,17,9,0.529411765,5,4,0.8,2,42
AA229,职能,36,800,1,2,2,139,0,24,23,0.958333333,1,0,0,0,0,0,0,0
AA230,职能,117,223,6,2,2,282,0,85,70,0.823529412,22,12,0.545454545,8,6,0.75,72,14
AA231,职能,127,710,1,1,1,204,1,79,68,0.860759494,8,5,0.625,1,1,1,78,27
AA232,职能,102,110,3,3,2,339,1,54,45,0.833333333,2,1,0.5,2,2,1,5,63
AA233,数分,25,610,1,1,1,271,3,20,10,0.5,1,1,1,5,2,0.4,17,2
AA234,市场,31,190,1,0,2,170,16,3,2,0.666666667,3,3,1,0,0,0,20,0
AA235,职能,56,125,1,4,1,140,0,28,17,0.607142857,5,3,0.6,1,1,1,3,17
AA236,职能,56,60,0,3,1,121,3,29,27,0.931034483,6,3,0.5,0,0,0,1,0
AA237,市场,41,200,1,1,2,221,1,20,17,0.85,0,0,0,0,0,0,3,0
AA238,市场,19,440,1,1,1,81,0,16,11,0.6875,0,0,0,0,0,0,0,0
AA239,职能,32,310,1,1,1,199,0,19,18,0.947368421,0,0,0,1,1,1,0,4
AA240,行政,49,110,0,2,1,122,0,29,24,0.827586207,1,0,0,0,0,0,1,15
AA241,职能,8,470,0,1,0,93,0,3,3,1,0,0,0,0,0,0,0,0
AA242,0,22,0,2,0,1,109,0,7,4,0.571428571,5,4,0.8,0,0,0,44,0
AA243,0,7,60,0,0,0,49,0,8,6,0.75,2,1,0.5,1,0,0,0,0
AA244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AA245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
